timestamp,device_id,sensor_id,adc_value,moisture_level,digital_status,weather_temp,weather_humidity,weather_sunlight,weather_wind_speed,location,weather_fetched
2/24/25 22:03,00000000e23f5b4d,1,14780,34.8,Dry,12.4,88,0,7.2,"Stockton, California, US",2/24/25 22:03
2/24/25 22:03,00000000e23f5b4d,2,14342,37.72,Dry,12.4,88,0,7.2,"Stockton, California, US",2/24/25 22:03
2/24/25 22:03,00000000e23f5b4d,3,18582,9.45,Dry,12.4,88,0,7.2,"Stockton, California, US",2/24/25 22:03
2/24/25 22:03,00000000e23f5b4d,4,17703,15.31,Dry,12.4,88,0,7.2,"Stockton, California, US",2/24/25 22:03
2/24/25 22:13,00000000e23f5b4d,1,14983,33.45,Dry,12.4,88,0,7.2,"Stockton, California, US",2/24/25 22:13
2/24/25 22:13,00000000e23f5b4d,2,13957,40.29,Dry,12.4,88,0,7.2,"Stockton, California, US",2/24/25 22:13
2/24/25 22:13,00000000e23f5b4d,3,18625,9.17,Dry,12.4,88,0,7.2,"Stockton, California, US",2/24/25 22:13
2/24/25 22:13,00000000e23f5b4d,4,17735,15.1,Dry,12.4,88,0,7.2,"Stockton, California, US",2/24/25 22:13
2/24/25 22:28,00000000e23f5b4d,1,14946,33.69,Dry,12.2,86,0,7.3,"Stockton, California, US",2/24/25 22:28
2/24/25 22:28,00000000e23f5b4d,2,14003,39.98,Dry,12.2,86,0,7.3,"Stockton, California, US",2/24/25 22:28
2/24/25 22:28,00000000e23f5b4d,3,18655,8.97,Dry,12.2,86,0,7.3,"Stockton, California, US",2/24/25 22:28
2/24/25 22:28,00000000e23f5b4d,4,17767,14.89,Dry,12.2,86,0,7.3,"Stockton, California, US",2/24/25 22:28
2/24/25 22:43,00000000e23f5b4d,1,14983,33.45,Dry,12,86,0,7,"Stockton, California, US",2/24/25 22:43
2/24/25 22:43,00000000e23f5b4d,2,13987,40.09,Dry,12,86,0,7,"Stockton, California, US",2/24/25 22:43
2/24/25 22:43,00000000e23f5b4d,3,18697,8.69,Dry,12,86,0,7,"Stockton, California, US",2/24/25 22:43
2/24/25 22:43,00000000e23f5b4d,4,17847,14.35,Dry,12,86,0,7,"Stockton, California, US",2/24/25 22:43
2/24/25 22:58,00000000e23f5b4d,1,14782,34.79,Dry,11.9,86,0,7.1,"Stockton, California, US",2/24/25 22:58
2/24/25 22:58,00000000e23f5b4d,2,14251,38.33,Dry,11.9,86,0,7.1,"Stockton, California, US",2/24/25 22:58
2/24/25 22:58,00000000e23f5b4d,3,18660,8.93,Dry,11.9,86,0,7.1,"Stockton, California, US",2/24/25 22:58
2/24/25 22:58,00000000e23f5b4d,4,17776,14.83,Dry,11.9,86,0,7.1,"Stockton, California, US",2/24/25 22:58
2/24/25 23:13,00000000e23f5b4d,1,14858,34.28,Dry,11.8,88,0,8.2,"Stockton, California, US",2/24/25 23:13
2/24/25 23:13,00000000e23f5b4d,2,13932,40.45,Dry,11.8,88,0,8.2,"Stockton, California, US",2/24/25 23:13
2/24/25 23:13,00000000e23f5b4d,3,18683,8.78,Dry,11.8,88,0,8.2,"Stockton, California, US",2/24/25 23:13
2/24/25 23:13,00000000e23f5b4d,4,17795,14.7,Dry,11.8,88,0,8.2,"Stockton, California, US",2/24/25 23:13
2/24/25 23:28,00000000e23f5b4d,1,14961,33.59,Dry,11.8,86,0,8.3,"Stockton, California, US",2/24/25 23:28
2/24/25 23:28,00000000e23f5b4d,2,13931,40.46,Dry,11.8,86,0,8.3,"Stockton, California, US",2/24/25 23:28
2/24/25 23:28,00000000e23f5b4d,3,18718,8.55,Dry,11.8,86,0,8.3,"Stockton, California, US",2/24/25 23:28
2/24/25 23:28,00000000e23f5b4d,4,17831,14.46,Dry,11.8,86,0,8.3,"Stockton, California, US",2/24/25 23:28
2/24/25 23:43,00000000e23f5b4d,1,14827,34.49,Dry,11.7,86,0,7.6,"Stockton, California, US",2/24/25 23:43
2/24/25 23:43,00000000e23f5b4d,2,14139,39.07,Dry,11.7,86,0,7.6,"Stockton, California, US",2/24/25 23:43
2/24/25 23:43,00000000e23f5b4d,3,18725,8.5,Dry,11.7,86,0,7.6,"Stockton, California, US",2/24/25 23:43
2/24/25 23:43,00000000e23f5b4d,4,17839,14.41,Dry,11.7,86,0,7.6,"Stockton, California, US",2/24/25 23:43
2/24/25 23:58,00000000e23f5b4d,1,14755,34.97,Dry,11.4,86,0,6.5,"Stockton, California, US",2/24/25 23:58
2/24/25 23:58,00000000e23f5b4d,2,14350,37.67,Dry,11.4,86,0,6.5,"Stockton, California, US",2/24/25 23:58
2/24/25 23:58,00000000e23f5b4d,3,18714,8.57,Dry,11.4,86,0,6.5,"Stockton, California, US",2/24/25 23:58
2/24/25 23:58,00000000e23f5b4d,4,17840,14.4,Dry,11.4,86,0,6.5,"Stockton, California, US",2/24/25 23:58
2/25/25 0:13,00000000e23f5b4d,1,14748,35.01,Dry,11.4,93,0,6.9,"Stockton, California, US",2/25/25 0:13
2/25/25 0:13,00000000e23f5b4d,2,13933,40.45,Dry,11.4,93,0,6.9,"Stockton, California, US",2/25/25 0:13
2/25/25 0:13,00000000e23f5b4d,3,18756,8.29,Dry,11.4,93,0,6.9,"Stockton, California, US",2/25/25 0:13
2/25/25 0:13,00000000e23f5b4d,4,17878,14.15,Dry,11.4,93,0,6.9,"Stockton, California, US",2/25/25 0:13
2/25/25 0:28,00000000e23f5b4d,1,14854,34.31,Dry,11.3,93,0,7.5,"Stockton, California, US",2/25/25 0:28
2/25/25 0:28,00000000e23f5b4d,2,14350,37.67,Dry,11.3,93,0,7.5,"Stockton, California, US",2/25/25 0:28
2/25/25 0:28,00000000e23f5b4d,3,18740,8.4,Dry,11.3,93,0,7.5,"Stockton, California, US",2/25/25 0:28
2/25/25 0:28,00000000e23f5b4d,4,17856,14.29,Dry,11.3,93,0,7.5,"Stockton, California, US",2/25/25 0:28
2/25/25 0:43,00000000e23f5b4d,1,14891,34.06,Dry,11.2,93,0,6.2,"Stockton, California, US",2/25/25 0:43
2/25/25 0:43,00000000e23f5b4d,2,14248,38.35,Dry,11.2,93,0,6.2,"Stockton, California, US",2/25/25 0:43
2/25/25 0:43,00000000e23f5b4d,3,18761,8.26,Dry,11.2,93,0,6.2,"Stockton, California, US",2/25/25 0:43
2/25/25 0:43,00000000e23f5b4d,4,17871,14.19,Dry,11.2,93,0,6.2,"Stockton, California, US",2/25/25 0:43
2/25/25 0:58,00000000e23f5b4d,1,14920,33.87,Dry,11,93,0,5.8,"Stockton, California, US",2/25/25 0:58
2/25/25 0:58,00000000e23f5b4d,2,14308,37.95,Dry,11,93,0,5.8,"Stockton, California, US",2/25/25 0:58
2/25/25 0:58,00000000e23f5b4d,3,18759,8.27,Dry,11,93,0,5.8,"Stockton, California, US",2/25/25 0:58
2/25/25 0:58,00000000e23f5b4d,4,17869,14.21,Dry,11,93,0,5.8,"Stockton, California, US",2/25/25 0:58
2/25/25 1:13,00000000e23f5b4d,1,14822,34.52,Dry,10.8,92,0,5.7,"Stockton, California, US",2/25/25 1:13
2/25/25 1:13,00000000e23f5b4d,2,14212,38.59,Dry,10.8,92,0,5.7,"Stockton, California, US",2/25/25 1:13
2/25/25 1:13,00000000e23f5b4d,3,18765,8.23,Dry,10.8,92,0,5.7,"Stockton, California, US",2/25/25 1:13
2/25/25 1:13,00000000e23f5b4d,4,17885,14.1,Dry,10.8,92,0,5.7,"Stockton, California, US",2/25/25 1:13
2/25/25 1:28,00000000e23f5b4d,1,14741,35.06,Dry,10.6,93,0,6.6,"Stockton, California, US",2/25/25 1:28
